step,timestamp,highway1_len,drain_delay_h1,can_take1,can_take2,next_highway1_len,next_drain_delay_h1,next_can_take2
1,2026-04-21 22:22:00.247,0,2.8,1,1,0,2.8,1
2,2026-04-21 22:22:01.252,0,2.8,1,1,0,2.8,1
3,2026-04-21 22:22:02.257,0,2.8,1,1,0,2.8,1
4,2026-04-21 22:22:03.260,0,2.8,1,1,1,2.8,1
5,2026-04-21 22:22:04.265,1,2.8,1,1,1,2.8,1
6,2026-04-21 22:22:05.270,1,2.8,0,1,0,2.8,1
7,2026-04-21 22:22:06.273,0,2.8,0,1,0,2.8,1
8,2026-04-21 22:22:07.278,0,2.8,0,1,0,2.8,0
9,2026-04-21 22:22:08.283,0,2.8,0,0,1,2.8,1
10,2026-04-21 22:22:09.285,1,2.8,1,1,1,2.8,0
11,2026-04-21 22:22:10.290,1,2.8,0,0,1,2.8,0
12,2026-04-21 22:22:11.292,1,2.8,1,0,1,2.8,0
13,2026-04-21 22:22:12.297,1,2.8,1,0,2,2.8,0
14,2026-04-21 22:22:13.300,2,2.8,1,0,2,2.8,1
15,2026-04-21 22:22:14.301,2,2.8,1,1,2,2.8,0
16,2026-04-21 22:22:15.305,2,2.8,1,0,4,2.8,1
17,2026-04-21 22:22:16.307,4,2.8,1,1,3,2.8,0
18,2026-04-21 22:22:17.312,3,2.8,1,0,4,2.8,0
19,2026-04-21 22:22:18.316,4,2.8,1,0,4,2.8,0
20,2026-04-21 22:22:19.319,4,2.8,1,0,5,2.8,0
21,2026-04-21 22:22:20.322,5,2.8,1,0,6,2.8,1
22,2026-04-21 22:22:21.328,6,2.8,1,1,5,2.8,0
23,2026-04-21 22:22:22.333,5,2.8,1,0,6,2.8,1
24,2026-04-21 22:22:23.338,6,2.8,1,1,7,2.8,1
25,2026-04-21 22:22:24.343,7,2.8,1,1,8,2.8,1
26,2026-04-21 22:22:25.346,8,2.8,1,1,9,2.8,1
27,2026-04-21 22:22:26.351,9,2.8,1,1,9,2.8,1
28,2026-04-21 22:22:27.357,9,2.8,0,1,8,2.8,1
29,2026-04-21 22:22:28.362,8,2.8,0,1,8,2.8,0
30,2026-04-21 22:22:29.366,8,2.8,0,0,8,2.8,0
31,2026-04-21 22:22:30.371,8,2.8,0,0,7,2.8,0
32,2026-04-21 22:22:31.372,7,2.8,0,0,7,2.8,1
33,2026-04-21 22:22:32.373,7,2.8,0,1,7,2.8,0
34,2026-04-21 22:22:33.375,7,2.8,0,0,6,2.8,0
35,2026-04-21 22:22:34.379,6,2.8,0,0,6,2.8,0
36,2026-04-21 22:22:35.383,6,2.8,0,0,6,2.8,0
37,2026-04-21 22:22:36.388,6,2.8,0,0,5,2.8,1
38,2026-04-21 22:22:37.393,5,2.8,0,1,6,2.8,0
39,2026-04-21 22:22:38.398,6,2.8,1,0,6,2.8,1
40,2026-04-21 22:22:39.400,6,2.8,1,1,7,2.8,1
41,2026-04-21 22:22:40.404,7,2.8,1,1,8,2.8,1
42,2026-04-21 22:22:41.405,8,2.8,1,1,9,3.8,0
43,2026-04-21 22:22:42.410,9,3.8,1,0,9,3.8,0
44,2026-04-21 22:22:43.415,9,3.8,0,0,9,3.8,0
45,2026-04-21 22:22:44.419,9,3.8,0,0,9,3.8,0
46,2026-04-21 22:22:45.420,9,3.8,0,0,9,3.8,0
47,2026-04-21 22:22:46.420,9,3.8,0,0,8,3.8,0
48,2026-04-21 22:22:47.421,8,3.8,0,0,8,3.8,0
49,2026-04-21 22:22:48.423,8,3.8,0,0,8,3.8,0
50,2026-04-21 22:22:49.428,8,3.8,0,0,8,3.8,1
51,2026-04-21 22:22:50.433,8,3.8,0,1,7,3.8,0
52,2026-04-21 22:22:51.433,7,3.8,0,0,7,3.8,0
53,2026-04-21 22:22:52.435,7,3.8,0,0,7,3.8,1
54,2026-04-21 22:22:53.436,7,3.8,0,1,7,3.8,1
55,2026-04-21 22:22:54.441,7,3.8,0,1,6,3.8,1
56,2026-04-21 22:22:55.447,6,3.8,0,1,6,3.8,1
57,2026-04-21 22:22:56.449,6,3.8,0,1,6,3.8,1
58,2026-04-21 22:22:57.450,6,3.8,0,1,5,3.8,1
59,2026-04-21 22:22:58.454,5,3.8,0,1,5,3.8,1
60,2026-04-21 22:22:59.459,5,3.8,0,1,5,3.3,1
61,2026-04-21 22:23:00.463,5,3.3,0,1,3,0.7,1
62,2026-04-21 22:23:01.468,3,0.7,0,1,2,0.7,1
63,2026-04-21 22:23:02.471,2,0.7,0,1,1,0.7,1
64,2026-04-21 22:23:03.472,1,0.7,0,1,0,0.7,1
65,2026-04-21 22:23:04.477,0,0.7,0,1,0,0.7,1
66,2026-04-21 22:23:05.482,0,0.7,0,1,0,0.7,1
67,2026-04-21 22:23:06.487,0,0.7,0,1,0,0.7,1
68,2026-04-21 22:23:07.490,0,0.7,0,1,0,0.7,1
69,2026-04-21 22:23:08.495,0,0.7,0,1,0,0.7,1
70,2026-04-21 22:23:09.500,0,0.7,0,1,0,0.7,0
71,2026-04-21 22:23:10.505,0,0.7,0,0,0,0.7,0
72,2026-04-21 22:23:11.508,0,0.7,0,0,0,0.7,0
73,2026-04-21 22:23:12.509,0,0.7,0,0,0,0.7,0
74,2026-04-21 22:23:13.513,0,0.7,1,0,1,0.7,1
75,2026-04-21 22:23:14.517,1,0.7,1,1,0,0.7,1
76,2026-04-21 22:23:15.522,0,0.7,1,1,0,0.7,0
77,2026-04-21 22:23:16.527,0,0.7,1,0,0,0.7,1
78,2026-04-21 22:23:17.529,0,0.7,1,1,1,0.7,0
79,2026-04-21 22:23:18.533,1,0.7,1,0,1,0.7,0
80,2026-04-21 22:23:19.539,1,0.7,1,0,1,0.7,0
81,2026-04-21 22:23:20.541,1,0.7,1,0,0,0.7,0
82,2026-04-21 22:23:21.545,0,0.7,1,0,0,1.4,0
83,2026-04-21 22:23:22.546,0,1.4,1,0,2,2.1,0
84,2026-04-21 22:23:23.551,2,2.1,1,0,2,2.1,1
85,2026-04-21 22:23:24.551,2,2.1,1,1,2,2.1,0
86,2026-04-21 22:23:25.551,2,2.1,1,0,2,2.1,0
87,2026-04-21 22:23:26.555,2,2.1,1,0,3,2.1,1
88,2026-04-21 22:23:27.560,3,2.1,1,1,3,2.1,0
89,2026-04-21 22:23:28.565,3,2.1,1,0,4,2.1,1
90,2026-04-21 22:23:29.570,4,2.1,1,1,5,2.1,1
91,2026-04-21 22:23:30.575,5,2.1,0,1,4,2.1,1
92,2026-04-21 22:23:31.579,4,2.1,0,1,4,2.1,0
93,2026-04-21 22:23:32.584,4,2.1,1,0,5,2.1,0
94,2026-04-21 22:23:33.586,5,2.1,1,0,5,2.1,1
95,2026-04-21 22:23:34.590,5,2.1,0,1,4,2.1,1
96,2026-04-21 22:23:35.594,4,2.1,0,1,4,2.1,0
97,2026-04-21 22:23:36.597,4,2.1,0,0,4,2.1,1
98,2026-04-21 22:23:37.600,4,2.1,1,1,4,2.1,0
